Button A: X+16, Y+32
Prize: X=17022, Y=16754

Button A: X+16, Y+35
Button B: X+34, Y+20
Prize: X=16244, Y=18770

Button A: X+24, Y+66
Button B: X+26, Y+11
Prize: X=17954, Y=12959

Button A: X+49, Y+16
Button B: X+40, Y+77
Prize: X=17697, Y=3668

Button A: X+65, Y+12
Button B: X+45, Y+61
Prize: X=4180, Y=4829

Button A: X+58, Y+23
Button B: X+13, Y+65
Prize: X=19471, Y=3477

Button A: X+84, Y+49
Button B: X+17, Y+83
Prize: X=9493, Y=12042

Button A: X+26, Y+67
Button B: X+69, Y+26
Prize: X=3762, Y=247

Button A: X+35, Y+23
Button B: X+19, Y+41
Prize: X=2950, Y=3792

Button A: X+55, Y+26
Button B: X+27, Y+76
Prize: X=1346, Y=826

Button A: X+53, Y+65
Button B: X+58, Y+11
Prize: X=5917, Y=5573

Button A: X+95, Y+15
Button B: X+36, Y+99
Prize: X=9206, Y=8079

Button A: X+80, Y+40
Button B: X+35, Y+67
Prize: X=4420, Y=2804

Button A: X+39, Y+45
Button B: X+66, Y+14
Prize: X=5136, Y=3440

Button A: X+81, Y+65
Button B: X+24, Y+81
Prize: X=1332, Y=1995

Button A: X+92, Y+62
Button B: X+22, Y+54
Prize: X=5740, Y=6062

Button A: X+59, Y+52
Button B: X+26, Y+93
Prize: X=2668, Y=4454

Button A: X+57, Y+13
Button B: X+24, Y+50
Prize: X=18335, Y=16341

Button A: X+22, Y+76
Button B: X+82, Y+26
Prize: X=2416, Y=3458

Button A: X+30, Y+73
Button B: X+19, Y+11
Prize: X=3561, Y=7291

Button A: X+11, Y+81
Button B: X+24, Y+12
Prize: X=2602, Y=7794

Button A: X+51, Y+79
Button B: X+95, Y+24
Prize: X=6873, Y=3257

Button A: X+23, Y+48
Button B: X+70, Y+44
Prize: X=3045, Y=19172

Button A: X+19, Y+92
Button B: X+86, Y+18
Prize: X=2339, Y=2162

Button A: X+13, Y+60
Button B: X+35, Y+15
Prize: X=7096, Y=16190

Button A: X+51, Y+22
Button B: X+12, Y+35
Prize: X=12254, Y=3351

Button A: X+60, Y+31
Button B: X+44, Y+78
Prize: X=4668, Y=6391

Button A: X+17, Y+43
Button B: X+42, Y+19
Prize: X=3734, Y=7603

Button A: X+78, Y+32
Button B: X+14, Y+25
Prize: X=3828, Y=2437

Button A: X+44, Y+17
Button B: X+37, Y+60
Prize: X=3131, Y=11574

Button A: X+66, Y+89
Button B: X+53, Y+15
Prize: X=5112, Y=5877

Button A: X+15, Y+59
Button B: X+75, Y+27
Prize: X=12545, Y=6573

Button A: X+54, Y+16
Button B: X+25, Y+61
Prize: X=5353, Y=325

Button A: X+28, Y+19
Button B: X+29, Y+88
Prize: X=4372, Y=8979

Button A: X+59, Y+99
Button B: X+64, Y+12
Prize: X=2829, Y=2553

Button A: X+24, Y+80
Button B: X+95, Y+67
Prize: X=5683, Y=5711

Button A: X+13, Y+42
Button B: X+44, Y+22
Prize: X=13586, Y=11034

Button A: X+13, Y+27
Button B: X+27, Y+11
Prize: X=1714, Y=19578

Button A: X+78, Y+40
Button B: X+15, Y+25
Prize: X=7623, Y=4965

Button A: X+13, Y+38
Button B: X+34, Y+19
Prize: X=13897, Y=19462

Button A: X+16, Y+86
Button B: X+90, Y+97
Prize: X=7454, Y=11059

Button A: X+16, Y+74
Button B: X+48, Y+14
Prize: X=672, Y=15348

Button A: X+19, Y+56
Button B: X+92, Y+49
Prize: X=3224, Y=4837

Button A: X+65, Y+11
Button B: X+24, Y+84
Prize: X=19354, Y=16330

Button A: X+62, Y+14
Button B: X+18, Y+55
Prize: X=9152, Y=14331

Button A: X+45, Y+89
Button B: X+46, Y+14
Prize: X=6885, Y=6689

Button A: X+53, Y+21
Button B: X+28, Y+67
Prize: X=7769, Y=9179

Button A: X+57, Y+83
Button B: X+69, Y+18
Prize: X=10614, Y=9105

Button A: X+47, Y+14
Button B: X+13, Y+37
Prize: X=6583, Y=4633

Button A: X+11, Y+59
Button B: X+39, Y+15
Prize: X=11414, Y=3470

Button A: X+30, Y+11
Button B: X+19, Y+65
Prize: X=2311, Y=16664

Button A: X+38, Y+21
Button B: X+35, Y+61
Prize: X=18354, Y=4375

Button A: X+28, Y+57
Button B: X+54, Y+19
Prize: X=16000, Y=12527

Button A: X+46, Y+21
Button B: X+11, Y+56
Prize: X=3961, Y=3371

Button A: X+21, Y+69
Button B: X+99, Y+57
Prize: X=1212, Y=1836

Button A: X+17, Y+71
Button B: X+50, Y+11
Prize: X=5903, Y=10901

Button A: X+18, Y+36
Button B: X+47, Y+23
Prize: X=3326, Y=14216

Button A: X+40, Y+99
Button B: X+60, Y+45
Prize: X=7360, Y=9936

Button A: X+13, Y+50
Button B: X+17, Y+11
Prize: X=2723, Y=5089

Button A: X+18, Y+61
Button B: X+84, Y+14
Prize: X=8412, Y=4418

Button A: X+26, Y+13
Button B: X+16, Y+31
Prize: X=7920, Y=4033

Button A: X+78, Y+32
Button B: X+13, Y+48
Prize: X=7956, Y=6592

Button A: X+64, Y+19
Button B: X+15, Y+45
Prize: X=15736, Y=14716

Button A: X+84, Y+36
Button B: X+11, Y+49
Prize: X=9518, Y=19202

Button A: X+19, Y+50
Button B: X+53, Y+21
Prize: X=11936, Y=5601

Button A: X+78, Y+13
Button B: X+12, Y+49
Prize: X=8930, Y=5295

Button A: X+15, Y+37
Button B: X+78, Y+57
Prize: X=4097, Y=17153

Button A: X+67, Y+25
Button B: X+51, Y+85
Prize: X=6603, Y=4245

Button A: X+93, Y+21
Button B: X+59, Y+89
Prize: X=9830, Y=6836

Button A: X+44, Y+17
Button B: X+16, Y+41
Prize: X=1928, Y=2068

Button A: X+43, Y+90
Button B: X+66, Y+45
Prize: X=8152, Y=10170

Button A: X+14, Y+41
Button B: X+99, Y+34
Prize: X=7975, Y=3137

Button A: X+65, Y+24
Button B: X+28, Y+62
Prize: X=13424, Y=14226

Button A: X+67, Y+12
Button B: X+17, Y+74
Prize: X=7807, Y=2320

Button A: X+50, Y+80
Button B: X+83, Y+14
Prize: X=8199, Y=6822

Button A: X+78, Y+92
Button B: X+15, Y+86
Prize: X=7422, Y=14492

Button A: X+23, Y+56
Button B: X+64, Y+31
Prize: X=16640, Y=9512

Button A: X+20, Y+99
Button B: X+36, Y+15
Prize: X=2828, Y=6981

Button A: X+65, Y+33
Button B: X+18, Y+42
Prize: X=14469, Y=11309

Button A: X+54, Y+74
Button B: X+87, Y+14
Prize: X=10155, Y=5814

Button A: X+49, Y+25
Button B: X+30, Y+64
Prize: X=2549, Y=1587

Button A: X+65, Y+41
Button B: X+17, Y+33
Prize: X=529, Y=6313

Button A: X+28, Y+96
Button B: X+94, Y+61
Prize: X=2878, Y=4903

Button A: X+85, Y+12
Button B: X+11, Y+78
Prize: X=12753, Y=17192

Button A: X+41, Y+26
Button B: X+28, Y+81
Prize: X=5978, Y=8218

Button A: X+33, Y+14
Button B: X+11, Y+47
Prize: X=5732, Y=3748

Button A: X+79, Y+68
Button B: X+12, Y+52
Prize: X=1307, Y=4292

Button A: X+12, Y+40
Button B: X+77, Y+49
Prize: X=1685, Y=9105

Button A: X+13, Y+41
Button B: X+83, Y+56
Prize: X=18196, Y=6822

Button A: X+13, Y+46
Button B: X+57, Y+17
Prize: X=598, Y=4502

Button A: X+45, Y+20
Button B: X+11, Y+42
Prize: X=3832, Y=204

Button A: X+11, Y+37
Button B: X+63, Y+26
Prize: X=5093, Y=2816

Button A: X+73, Y+15
Button B: X+26, Y+37
Prize: X=2871, Y=1508

Button A: X+24, Y+87
Button B: X+69, Y+23
Prize: X=3441, Y=5887

Button A: X+13, Y+56
Button B: X+59, Y+19
Prize: X=19054, Y=11310

Button A: X+51, Y+27
Button B: X+33, Y+71
Prize: X=5841, Y=6197

Button A: X+51, Y+81
Button B: X+59, Y+18
Prize: X=8661, Y=8532

Button A: X+20, Y+96
Button B: X+42, Y+33
Prize: X=4498, Y=6585

Button A: X+50, Y+82
Button B: X+97, Y+34
Prize: X=6745, Y=6684

Button A: X+69, Y+25
Button B: X+14, Y+48
Prize: X=11428, Y=14726

Button A: X+90, Y+44
Button B: X+37, Y+88
Prize: X=3393, Y=2288

Button A: X+31, Y+74
Button B: X+56, Y+17
Prize: X=2670, Y=4040

Button A: X+54, Y+87
Button B: X+78, Y+32
Prize: X=5466, Y=5809

Button A: X+72, Y+26
Button B: X+12, Y+67
Prize: X=1604, Y=5033

Button A: X+88, Y+20
Button B: X+23, Y+97
Prize: X=1753, Y=1775

Button A: X+73, Y+27
Button B: X+20, Y+57
Prize: X=11138, Y=12104

Button A: X+18, Y+65
Button B: X+50, Y+24
Prize: X=5672, Y=5766

Button A: X+16, Y+55
Button B: X+54, Y+20
Prize: X=18756, Y=14580

Button A: X+46, Y+29
Button B: X+17, Y+46
Prize: X=2394, Y=17395

Button A: X+16, Y+60
Button B: X+85, Y+49
Prize: X=7894, Y=8562

Button A: X+53, Y+17
Button B: X+27, Y+70
Prize: X=13517, Y=12629

Button A: X+20, Y+73
Button B: X+56, Y+16
Prize: X=8496, Y=4948

Button A: X+51, Y+93
Button B: X+60, Y+18
Prize: X=6126, Y=8520

Button A: X+15, Y+43
Button B: X+64, Y+38
Prize: X=5574, Y=4926

Button A: X+21, Y+60
Button B: X+57, Y+17
Prize: X=4337, Y=11300
